ID,Codigo,Descripcion,Tipo,FechaExtraccion
278,07-029,Medicina Fisica Y Rehabilitacion (Fisiatria Adulto),E,2026-01-31 18:05:41.190000
279,07-900-1,Medicina Familiar,E,2026-01-31 18:05:41.193000
280,07-054,Urología,E,2026-01-31 18:05:41.200000
281,07-053,Traumatología Y Ortopedia,E,2026-01-31 18:05:41.200000
282,09-014,Trastornos Temporomandibulares Y Dolor Orofacial,E,2026-01-31 18:05:41.203000
283,07-100-4,TACO,E,2026-01-31 18:05:41.207000
284,07-600-9,Sala Ocupacional,E,2026-01-31 18:05:41.217000
285,07-051,Reumatología,E,2026-01-31 18:05:41.220000
286,09-016,Rehabilitacion Oral Fija,E,2026-01-31 18:05:41.223000
287,09-011,Rehabilitación Oral Removible,E,2026-01-31 18:05:41.223000
288,07-049,Psiquiatría Pediátrica Y De La Adolescencia,E,2026-01-31 18:05:41.227000
289,07-117-0,Psiquiatría,E,2026-01-31 18:05:41.233000
290,09-010,Periodoncia,E,2026-01-31 18:05:41.237000
291,07-047,Pediatría,E,2026-01-31 18:05:41.237000
292,09-009,Patología Oral,E,2026-01-31 18:05:41.240000
293,07-301-3,"Patología Cervical, Unidad De",E,2026-01-31 18:05:41.243000
294,07-046,Otorrinolaringología,E,2026-01-31 18:05:41.247000
295,09-008,Ortodoncia Y Ortopedia Dento Máxilo Facial,E,2026-01-31 18:05:41.253000
296,07-045,Oncología Médica,E,2026-01-31 18:05:41.257000
297,07-044,Oftalmología,E,2026-01-31 18:05:41.263000
298,09-007,Odontopediatría,E,2026-01-31 18:05:41.267000
299,07-066,Obstetricia,E,2026-01-31 18:05:41.270000
300,07-100-3,Obesidad Y Cirugía Bariátrica,E,2026-01-31 18:05:41.270000
301,07-042,Neurologia Pediatrica,E,2026-01-31 18:05:41.273000
302,07-041,Neurología Adulto,E,2026-01-31 18:05:41.277000
303,07-115-0,Neurología,E,2026-01-31 18:05:41.280000
304,07-039,Neonatología,E,2026-01-31 18:05:41.290000
305,07-038,Nefrologia Pediatrico,E,2026-01-31 18:05:41.290000
306,07-037,Nefrología Adulto,E,2026-01-31 18:05:41.293000
307,07-108-0,Nefrología,E,2026-01-31 18:05:41.297000
308,07-030,Medicina Interna,E,2026-01-31 18:05:41.300000
309,07-040,Neurocirugía,E,2026-01-31 18:05:41.300000
310,07-109-0,Nutrición,E,2026-01-31 18:05:41.303000
311,07-048,Psiquiatría Adulto,E,2026-01-31 18:05:41.307000
312,07-022,Ginecologia Pediatrica Y De Adolescencia,E,2026-01-31 18:05:41.313000
313,INM-HOV_105102,Inmunologia Adulto_HDATL,E,2026-01-31 18:05:41.317000
314,SAL-OCU-105102,Salud Ocupacional HDATL,E,2026-01-31 18:05:41.320000
315,REHA-105102,Rehabilitacion Oral HDATL,E,2026-01-31 18:05:41.323000
316,RXDENT-105102,Radiografias Dentales HDATL,E,2026-01-31 18:05:41.327000
317,MC-105102,Medico CESAM HDATL,E,2026-01-31 18:05:41.327000
318,BNN-105102,Neonatologia HDATL,E,2026-01-31 18:05:41.330000
319,MIMG-105102,Medico Imagenologia HDATL,E,2026-01-31 18:05:41.330000
320,ADMISIÓN-LEC-HOV,Admisión-Lista de Espera Control HDATL,E,2026-01-31 18:05:41.337000
321,MEDMI-HOV,Medico Medicina Interna HDATL,E,2026-01-31 18:05:41.340000
322,ENFESPQX,Enfermería Poli Especialidades Quirúrgicas HDATL,E,2026-01-31 18:05:41.343000
323,02042025,Cardiologia prueba,E,2026-01-31 18:05:41.350000
324,UEH-HOV,Unidad ECICEP HDATL,E,2026-01-31 18:05:41.350000
325,ENFPC-HOV,Enfermería poli Cardiologia_HDATL,E,2026-01-31 18:05:41.357000
326,05-102-122,UHCIP INFANTO ADOLESCENTE,W,2026-01-31 18:05:41.360000
327,05-102-121,UHCIP ADULTO,W,2026-01-31 18:05:41.363000
328,BTRD-HOV,Box TENS Radiografias Dentales HDATL,E,2026-01-31 18:05:41.367000
329,PSIBOX2304,Box Psicologia_Neurodivergencia HDATL,E,2026-01-31 18:05:41.370000
330,TOBOX2304,Box Terapia Ocupacional_Neurodivergencia HDTAL,E,2026-01-31 18:05:41.373000
331,FONOBOX2304,Box Fonoaudiologia_Neurodivergencia HDATL,E,2026-01-31 18:05:41.373000
332,NEU-HOV-105102,Neurología HDATL,E,2026-01-31 18:05:41.377000
